	MeSH Disease Term	PubMed occurrence
2455	Болезнь Гилберта	479
2456	Заворот желудка	478
2457	Гипокинезия	478
2458	Отек роговицы	478
2459	Очаговая инфекция	477
2460	Ключично-черепная дисплазия	477
2461	уретероцеле	477
2462	Альфавирусные инфекции	476
2463	Врожденная миотония	476
2464	тромбастения	476
2465	Амнезия, ретроградная	475
2466	Геморрагическая лихорадка Денге	472
2467	Аденоматозные полипы	472
2468	Заболевания поднижнечелюстной железы	472
2469	Трипаносомоз крупного рогатого скота	471
2470	Пневмония, вентилятор-ассоциированная	470
2471	Хромобластомикоз	470
2472	Зубочелюстная киста	470
2473	Травмы предплечья	470
2474	Ревматоидный узел	469
2475	Опоясывающий лишай	468
2476	Постполиомиелитный синдром	468
2477	васкулит, центральная нервная система	468
2478	Анемия, рефрактерная	468
2479	Миастенический синдром Ламберта-Итона	467
2480	пика	467
2481	Трихотилломания	467
2482	Ангиофиброма	466
2483	Деминерализация зубов	466
2484	Травмы зрительного нерва	466
2485	Энтодермальная опухоль синуса	465
2486	Псевдомиксома брюшины	465
2487	гипераммониемия	465
2488	гемангиобластома	464
2489	Новообразования эндокринных желез	463
2490	Сывороточная болезнь	463
2491	Американская пятнистая лихорадка	462
2492	Лимфоматоидный гранулематоз	462
2493	Ахлоргидрия	462
2494	гиповолемия	462
2495	Конъюнктивит, бактериальный	461
2496	микроспоридиоз	461
2497	Костные кисты, аневризмы	461
2498	Дистония деформирующих мышц	461
2499	панкреатит, алкогольный	460
2500	Кистозная аденоматоидная мальформация легкого, врожденная	460
2501	Полидактилия	459
2502	Апноэ во сне, Центральный	459
2503	Дистимическое расстройство	459
2504	Новообразования ствола головного мозга	458
2505	пресбиопия	458
2506	Эндокардиальный фиброэластоз	458
2507	Неврастения	458
2508	Анаплазмоз	457
2509	Реовирусные инфекции	457
2510	Спондилоартропатии	457
2511	Авитаминоз	457
2512	спондилолиз	456
2513	Порфирия, острая перемежающаяся	456
2514	Стоматит, Протез	455
2515	Гипертрофия правого желудочка	455
2516	Лимфогранулема венерическая	454
2517	Синдром Пьера-Робена	454
2518	Увеальные болезни	454
2519	лейкоплакия	453
2520	Травма легких	452
2521	Синдром Денди-Уокера	452
2522	Алкаптонурия	452
2523	Пуговичная лихорадка	451
2524	Розеоловирусные инфекции	451
2525	Атрофия зрительного нерва, наследственная, Лебер	451
2526	Множественная химическая чувствительность	451
2527	Импетиго	450
2528	Карцинома, протоковая	450
2529	Эмболия, амниотическая жидкость	450
2530	Беременность, Брюшной	450
2531	Синдром Чедиака-Хигаси	449
2532	Резистентность к активированному протеину С	448
2533	Новообразования, нервная ткань	447
2534	Наследственные сенсорные и вегетативные невропатии	447
2535	Кольцевая гранулема	447
2536	остеорадионекроз	447
2537	лепра, туберкулоид	446
2538	Суперинфекция	444
2539	Отравление мышьяком	444
2540	ксерофтальмия	444
2541	Соматосенсорные расстройства	443
2542	Вульвовагинит	443
2543	Сыпной тиф, эпидемический вшей	442
2544	Инфекции центральной нервной системы	442
2545	Саркома, миелоидная	442
2546	Послеоперационная тошнота и рвота	442
2547	аборт, септик	441
2548	Пузырно-влагалищный свищ	441
2549	Литиаз	441
2550	Рабдомиосаркома, эмбриональная	439
2551	Потому что болезнь	438
2552	Корешковая киста	437
2553	Гемангиома, кавернозная, центральная нервная система	437
2554	Лейкемическая инфильтрация	437
2555	Кардиомиопатия, Алкоголизм	436
2556	Токсичность лекарств	436
2557	Дисгенезия гонад, 46,XY	435
2558	эмболия, парадоксальная	435
2559	паралич Белла	434
2560	Ангиодисплазия	433
2561	Синдром лизиса опухоли	433
2562	синдром раздавливания	433
2563	Риносклерома	432
2564	Аномия	432
2565	Маловодие	432
2566	Аграфия	431
2567	Гипергликемическая гиперосмолярная некетотическая кома	431
2568	Гранулема, пиогенная	431
2569	Лейкемия L5178	430
2570	илеус	430
2571	Адренокортикальная карцинома	428
2572	Синдром Клиппеля-Фейля	428
2573	Расходящееся косоглазие	426
2574	Синдром АКТГ, эктопический	425
2575	Синдром горящего рта	425
2576	Ишемия спинного мозга	425
2577	тризм	425
2578	Селезеночный инфаркт	425
2579	Псевдообструкция толстой кишки	424
2580	Альбинизм, глазо-кожный	424
2581	Гемангиоэндотелиома, эпителиоидная	423
2582	Дефицит рибофлавина	422
2583	Остеолиз, Эссенциальный	421
2584	Синдром гипоплазии левых отделов сердца	421
2585	Синдром аспирации мекония	420
2586	Адренокортикальная аденома	419
2587	Гипофизарная апоплексия	419
2588	Гипопротеинемия	419
2589	Кризис щитовидной железы	419
2590	Боррелиозные инфекции	418
2591	Гастринома	418
2592	Стеноз трехстворчатого клапана	417
2593	Дефицит IgA	417
2594	Гиперплазия тимуса	416
2595	Гипертрофия	416
2596	Жирная печень, Алкоголик	414
2597	ДНК-вирусные инфекции	413
2598	Guardosis	413
2599	Личинка мигрирующая	412
2600	Паранеопластические синдромы, нервная система	412
2601	Фекальное воздействие	412
2602	Новообразования, нейроэпителиальные	411
2603	Синдром Кернса-Сейра	411
2604	Цереброспинальная жидкость Оторея	411
2605	бели	411
2606	Гистиоцитарный некротизирующий лимфаденит	411
2607	Кисты челюсти	410
2608	Заворот кишечника	410
2609	Акатизия, индуцированная лекарствами	410
2610	Торсионная аномалия	410
2611	Новообразования зрительного нерва	409
2612	Синдром Мелькерссона-Розенталя	409
2613	Близнецы, Сиамские	409
2614	Гипофосфатазия	409
2615	Серотониновый синдром	409
2616	Тепловой удар	409
2617	Афазия, Вернике	408
2618	Дефицит витамина В	408
2619	Лейкемия, миелоидная, хроническая фаза	407
2620	Оливопонтоцеребеллярные атрофии	407
2621	псевдолимфома	407
2622	Болезнь накопления гликогена V типа	406
2623	Билиарная дискинезия	405
2624	Неправильный прикус, угол I класса	405
2625	рваные раны	405
2626	Слабая кожа	404
2627	Карцинома, Эмбриональная	403
2628	Кардиомиопатия, Рестриктивная	402
2629	одонтома	401
2630	Синдром Коккейна	401
2631	Солнечный ожог	401
2632	Отравление фтором	401
2633	Заражение клещами	397
2634	Цистаденокарцинома Муцинозная	397
2635	Буркхолдериозные инфекции	396
2636	стоматит, герпетический	396
2637	Ганглиоглиома	396
2638	Поддиафрагмальный абсцесс	395
2639	Гломусная опухоль горла	395
2640	Кохлеарные заболевания	395
2641	Заболевания отводящего нерва	395
2642	Анкилостомоз	394
2643	вальгусная деформация большого пальца стопы	394
2644	Аутоиммунные заболевания нервной системы	394
2645	бронхит, хронический	393
2646	Лобно-височная деменция	393
2647	Баланит	393
2648	Бактероидные инфекции	392
2649	Болезнь Борна	392
2650	Несовершенный амелогенез	392
2651	Заболевания преддверно-улиткового нерва	392
2652	Эпилепсия, посттравматическая	392
2653	Роговичная неоваскуляризация	392
2654	Заболевания хрусталика	392
2655	Легочная атрезия	392
2656	Сужение, Патологическое	392
2657	Валлеровское вырождение	392
2658	Личинка мигрирующая, висцеральная	391
2659	глюкагонома	391
2660	Субдуральный выпот	391
2661	Пиелонефрит, ксантогранулематозный	391
2662	Гипогидроз	391
2663	Перелом клея	391
2664	Паратонзиллярный абсцесс	390
2665	Блютанг	390
2666	Эпилепсия, Рефлекс	390
2667	Длинный синдром	390
2668	Дефицит фактора V	390
2669	брыжеечная киста	389
2670	Зуб, нежизнеспособный	389
2671	Синдром Блума	389
2672	Yersinia pseudotuberculosis Инфекции	388
2673	Лучевой пневмонит	387
2674	Болезнь Мачадо-Жозефа	387
2675	Недостаточность легочного клапана	387
2676	Синдром Фелти	386
2677	слюнотечение	386
2678	азооспермия	386
2679	Гипероксалурия	386
2680	Цистаденома, серозная	385
2681	Карцинома, Веррукозная	385
2682	Экстрофия мочевого пузыря	385
2683	Недержание пигмента	385
2684	Периостит	384
2685	Кожные заболевания, вирусные	384
2686	Миелинолиз, Центральный мост	384
2687	Анемия, рефрактерная, с избытком бластов	384
2688	Гистиоцитоз	384
2689	Нагноение	383
2690	СПИД-ассоциированная нефропатия	383
2691	Текома	383
2692	Гиперостоз, диффузный идиопатический скелет	383
2693	Лимфангиэктазия	383
2694	Пеллагра	383
2695	Диспареуния	382
2696	Уреаплазменные инфекции	381
2697	Поксвирусные инфекции	381
2698	Экологическая болезнь	380
2699	Склеральные заболевания	379
2700	Легионеллез	378
2701	Камни слюнных протоков	378
2702	Неврит, Аутоиммунный, Экспериментальный	378
2703	Заболевания глаз, наследственные	378
2704	глиосаркома	377
2705	Эллиптоцитоз, Наследственный	377
2706	Фурункулез	376
2707	Опухоль клеток Сертоли	376
2708	Гемифациальный спазм	376
2709	Синдром Ваарденбурга	376
2710	Несахарный диабет, нефрогенный	375
2711	Анемия, гемолитическая, врожденная, несфероцитарная	375
2712	Pilomatrixoma	374
2713	Кератоконъюнктивит Сикка	374
2714	Гипероксалурия, первичная	374
2715	Моноклональная гаммапатия неопределенного значения	374
2716	Периапикальная гранулема	373
2717	Бактерицидная дисфункция фагоцитов	373
2718	хондроматоз, синовиальный	372
2719	Каротидно-кавернозный синусовый свищ	372
2720	Мышечный гипертонус	371
2721	Гингивит, язвенно-некротический	369
2722	Мягкий шанкр	369
2723	Эктопаразитарные инвазии	369
2724	Сундук с воронкой	369
2725	Деформации носа, приобретенные	369
2726	Урогенитальные аномалии	369
2727	ядерная желтуха	368
2728	Липоидный некробиоз	368
2729	Синдром Персидского залива	368
2730	латиризм	368
2731	Энкопрез	368
2732	Эмпиема субдуральная	367
2733	Увеит, задний	367
2734	Покачивание	367
2735	Брюшная грыжа	367
2736	Подвздошная аневризма	366
2737	Карцинома, ацинарная клетка	365
2738	Невус, Синий	365
2739	Кисты центральной нервной системы	365
2740	Остеоартропатия, первичная гипертрофическая	365
2741	Легочная веноокклюзионная болезнь	365
2742	Гиперестезия	365
2743	анофтальм	365
2744	Синдром некроза сетчатки, острый	365
2745	Микроядра, дефектные хромосомы	365
2746	Туберкулема внутричерепная	364
2747	Синдром приобретенного иммунодефицита мышей	364
2748	Рабдомиосаркома, альвеолярная	364
2749	Ларингизм	364
2750	Легкое любителя птиц	364
2751	ринит, атрофический	364
2752	Комплекс Айзенменгер	364
2753	Гипоталамические новообразования	363
2754	Таупатии	363
2755	вульвит	363
2756	Отравление MPTP	362
2757	Лейкемоидная реакция	362
2758	Потеря слуха, высокочастотный	361
2759	Волчаночный васкулит, центральная нервная система	361
2760	Дерматит, Фотоаллергический	361
2761	клонорхоз	360
2762	Портвейн	360
2763	Синдром Джобса	359
2764	паронихия	358
2765	акантолиз	358
2766	Укусы, Человек	358
2767	Нейссериевые инфекции	357
2768	Синдром Гарднера	356
2769	Эховирусные инфекции	355
2770	Лимфоцеле	355
2771	Лицевая гемиатрофия	355
2772	Мочекаменная болезнь	355
2773	Расстройства зрачка	354
2774	Кровоизлияние в глаз	354
2775	Карцинома, папиллярная, фолликулярная	353
2776	Аборт, Пропущенный	353
2777	Нейроборрелиоз Лайма	352
2778	Сифилис, Сердечно-сосудистые	351
2779	Гестационные трофобластические новообразования	351
2780	Новообразования, сосудистая ткань	351
2781	Синдром скованного человека	351
2782	Подвывих хрусталика	351
2783	Болезнь Педжета, молочная железа	350
2784	порокератоз	350
2785	Папиллома, перевернутая	349
2786	Ампутация, травма	349
2787	Гистиоцитарная саркома	348
2788	Рассекающий остеохондрит	348
2789	Болезнь Рефсума	348
2790	Туберкулез, мужской половой орган	347
2791	Новообразования, фиброзная ткань	346
2792	Менингит, листериоз	345
2793	Гастрит, Гипертрофический	345
2794	Офтальмия, симпатическая	345
2795	Экхимоз	345
2796	Глазные инфекции	344
2797	полиомиелит, бульбарный	344
2798	Инфаркты ствола головного мозга	344
2799	Аортальный стеноз, подклапанный	344
2800	Мукополисахаридоз III	344
2801	Erysipelothrix Инфекции	343
2802	Лордоз	342
2803	Холедохолитиаз	342
2804	Гепатопульмональный синдром	342
2805	Синдром Шай-Дрейджера	342
2806	Перфорация матки	342
2807	Пороки развития коры	341
2808	Гангрена Фурнье	340
2809	диастема	340
2810	Амилоидные невропатии	340
2811	Лимфангиэктазы, кишечные	340
2812	Желчный рефлюкс	339
2813	Синдром Смита-Лемли-Опица	339
2814	грыжа, бедренная	339
2815	Туберкулез, Сердечно-сосудистые	338
2816	педофилия	338
2817	Нарушения обмена фосфора	337
2818	Заболевания коры надпочечников	337
2819	Гранулема, смертельная средняя линия	336
2820	Дефицит протеина С	336
2821	Неонатальный абстинентный синдром	336
2822	Отрубевидный лишай	336
2823	Склероз	336
2824	проказа, пограничный	335
2825	Копчиковый свищ	335
2826	Аденома, клетка печени	335
2827	спондилоартрит	335
2828	Синдром Мэллори-Вейсса	335
2829	астенопия	335
2830	Желтуха, хроническая идиопатическая	334
2831	Туберкулез гортани	333
2832	Синдром Гольденхара	333
2833	синдром кошачьего крика	333
2834	Гиперлипопротеинемия III типа	333
2835	Энцефаломиелит лошадей	332
2836	Резорбция зубов	332
2837	Травмы головы, проникающие	332
2838	Лимфангит	332
2839	Актинобактериальные инфекции	331
2840	Пневмония, Липид	331
2841	Иридоциклит	331
2842	Синдром ногтя-надколенника	330
2843	Желтая лихорадка	329
2844	Катаплексия	329
2845	Бульбарный паралич, прогрессирующий	328
2846	Бляшка, атеросклеротическая	328
2847	Пероксисомальные расстройства	327
2848	Эпиретинальная мембрана	327
2849	Некроз коры почки	327
2850	Гемоглобинурия	327
2851	Синдром верхней брыжеечной артерии	326
2852	Орбитальная псевдоопухоль	326
2853	Красный волосяной лишай	326
2854	Отек гортани	325
2855	Эритромелалгия	325
2856	Дефицит фактора XIII	325
2857	кератоз, себорейный	324
2858	Анемия, Дизеритропоэтическая, Врожденная	322
2859	Анемия, неонатальная	322
2860	Дефицит фактора XI	322
2861	Разрыв, спонтанный	322
2862	Гиперостоз, Кортикальный, Врожденный	321
2863	Деформации стопы	321
2864	Гидраденит гнойный	320
2865	Опухоли полового канатика-гонадной стромы	320
2866	Регрессия новообразования, спонтанная	320
2867	Гастрошизис	320
2868	Олигурия	320
2869	Инфекционный ринотрахеит крупного рогатого скота	319
2870	новообразования соединительной ткани	319
2871	Фиброма, оссифицирующая	319
2872	Глазная гипотензия	319
2873	Геномная нестабильность	319
2874	Т-клеточный лимфобластный лейкоз-лимфома-предшественник	318
2875	Синдром Капгра	318
2876	Инфекции HTLV-II	317
2877	Мастоцитоз, системный	316
2878	Ангиокератома	316
2879	Лимбический энцефалит	316
2880	Несостоятельность шейки матки	316
2881	Вагинальный свищ	316
2882	Синдром Панкоста	315
2883	Ганглиозидозы	315
2884	Сердечная недостаточность, систолическая	315
2885	Заглоточный абсцесс	314
2886	зигомикоз	314
2887	Ротовое дыхание	314
2888	Острое заболевание	314
2889	нейроцитома	313
2890	Фиброзно-кистозный остеит	313
2891	Феномен Шварцмана	313
2892	Хантавирусные инфекции	312
2893	Рецессия десны	312
2894	Бартонеллезные инфекции	311
2895	Хроническая мигрирующая эритема	311
2896	Расширение желудка	311
2897	Зоб, загрудинный	311
2898	Гиперостоз	310
2899	Кор Триатриатум	310
2900	Абеталипопротеинемия	310
2901	Скуловые переломы	310
2902	Гемоглобин SC Болезнь	309
2903	Кардиовирусные инфекции	308
2904	актиномикоз, шейно-лицевой	307
2905	ВИЧ-синдром истощения	307
2906	Горящая опухоль	307
2907	Синдром переднего отдела	307
2908	поухитис	307
2909	КАДАСИЛ	307
2910	Расстройство поведения во время быстрого сна	307
2911	Травмы лицевого нерва	306
2912	Заболевания тройничного нерва	306
2913	Опухоль клеток Сертоли-Лейдига	305
2914	Нейро-кожные синдромы	305
2915	Гематома, Эпидуральная, Спинальная	305
2916	Аденома, ворсинчатая	304
2917	Реакция Артуса	304
2918	Силикотуберкулез	303
2919	Офтальмоплегия, хроническая прогрессирующая наружная	303
2920	Латеральный медуллярный синдром	303
2921	Гематома, субдуральная, хроническая	303
2922	Синдром амниотической полосы	303
2923	Синдром Алажиля	302
2924	Синдром Зеллвегера	302
2925	Переломы челюсти	302
2926	Верхнечелюстные переломы	302
2927	Подслизистый фиброз полости рта	301
2928	Дерматит, Фототоксический	301
2929	Воспалительный синдром восстановления иммунитета	301
2930	Саркома, эндометриальная стромальная	300
2931	Диафрагмальная эвентрация	300
2932	Потеря пародонтального прикрепления	300
2933	Аномалии кожи	300
2934	Тиреоидит, подострый	300
2935	Невус, эпителиоидный и веретенообразный	299
2936	Конъюнктивит, инклюзия	298
2937	Метаплазия	298
2938	Инфекции Strongyle, лошади	297
2939	Камни слюнной железы	297
2940	Дыхание Чейна-Стокса	297
2941	Синоатриальная блокада	297
2942	Новообразования сосудистого сплетения	296
2943	Перфорация барабанной перепонки	296
2944	фасцикуляция	296
2945	Возвратный тиф	295
2946	лейкемия, пролимфоцитарная	295
2947	Гастроэнтерит трансмиссивный свиней	294
2948	Смешанная опухоль, Мюллерова	294
2949	Поликистоз почек, аутосомно-рецессивный	294
2950	Врожденные нарушения гликозилирования	294
2951	Парапсориаз	294
2952	Вирусные заболевания центральной нервной системы	293
2953	Аномалии рта	293
2954	подколенная киста	292
2955	Энхондроматоз	292
2956	Почечный канальцевый транспорт, врожденные ошибки	292
2957	Синдромы предвозбуждения	292
2958	Струма яичников	291
2959	Синдром Миллера Фишера	291
2960	Ячейки PC12	291
2961	Мигрень без ауры	290
2962	Ретракционный синдром Дуэйна	290
2963	Гиперчувствительность к арахису	290
2964	родовая боль	289
2965	Танжерская болезнь	289
2966	Свищ дыхательных путей	287
2967	Кардиомиопатия, Гипертрофическая, Семейная	287
2968	Синдром Каллмана	286
2969	Рядом с утоплением	286
2970	Разрастание десен	285
2971	Синдром Ротмунда-Томсона	285
2972	Гистиоцитома, злокачественная фиброзная	284
2973	Ирит	284
2974	Клещевые заболевания	283
2975	Заболевания, передающиеся половым путем, бактериальные	283
2976	Медуллярная губчатая почка	283
2977	Кандидоз, хронический кожно-слизистый	281
2978	Алкогольные расстройства, нервная система	281
2979	Диффузное повреждение аксонов	280
2980	Слепота, корковая	280
2981	Синдром чернослива	280
2982	Кожные заболевания, генетические	280
2983	Сыпь от подгузников	280
2984	Переломы, компрессия	280
2985	Пневмоцистные инфекции	279
2986	Бериллиоз	279
2987	Черепно-мозговая травма, хроническая	279
2988	Гипертоническая энцефалопатия	279
2989	анисакиоз	278
2990	литник, тропический	278
2991	эпилепсия, роландическая	278
2992	Аниридия	277
2993	Серратиозные инфекции	276
2994	Синдром Рубинштейна-Тайби	276
2995	Мышечная дистрофия, Facioscapulohumeral	276
2996	Менингит, Грибковый	275
2997	Деформации суставов, приобретенные	275
2998	Ангиоматоз, бациллярный	274
2999	Лоаоз	274
3000	Эпидуральные новообразования	274
3001	Болезнь Папийона-Лефевра	274
3002	Дисплазия тазобедренного сустава, собак	274
3003	Простой буллезный эпидермолиз	273
3004	Тогавирусные инфекции	272
3005	Урахальная киста	272
3006	Ретрогнатизм	272
3007	Мышечные дистрофии, поясно-конечностные	272
3008	Амилоидные невропатии, семейные	272
3009	Заболевания головного мозга, Метаболические, Врожденные	271
3010	Апудома	270
3011	Миграция зубов	269
3012	Синдром Лоуренса-Муна	268
3013	оофорит	268
3014	Аномалии, тяжелые тератоиды	267
3015	гипертелоризм	266
3016	Эндолимфатический гидропс	266
3017	Синдром больного здания	266
3018	Аргирия	265
3019	Бери-бери	265
3020	Диктиокаулезные инфекции	264
3021	Микрогнатизм	264
3022	Миопатии, Немалин	264
3023	Энзоотический лейкоз крупного рогатого скота	263
3024	Myelolipoma	263
3025	Умственная отсталость, Х-сцепленный	263
3026	Медленные вирусные заболевания	262
3027	Инфратенториальные новообразования	262
3028	Гипокалиемический периодический паралич	262
3029	Сердечная недостаточность, диастолическая	262
3030	Дефицит фактора X	262
3031	Геморрагическая лихорадка, Эбола	261
3032	Синдром капиллярной утечки	261
3033	ганглиозные кисты	260
3034	Тератокарцинома	260
3035	Новообразования радужки	260
3036	Несовершенный дентиногенез	260
3037	Заболевания потовых желез	260
3038	Перикардит, Туберкулезный	259
3039	Миома	259
3040	Потоотделение, Вкусовые	259
3041	Гипофиз Гиперсекреция АКТГ	259
3042	Бордетеллезные инфекции	258
3043	Эстезионейробластома, Обонятельная	258
3044	Хоанальная атрезия	257
3045	липосаркома, миксоид	256
3046	Открытый прикус	256
3047	Гиповентиляционный синдром ожирения	256
3048	Риккетсиевые инфекции	255
3049	меланома, амеланотическая	255
3050	Врожденный дискератоз	255
3051	Ожирение, Брюшной	255
3052	Псевдогипоальдостеронизм	254
3053	Потеря эмбриона	254
3054	гипотрихоз	254
3055	Липоматоз, множественный симметричный	254
3056	эрготизм	254
3057	Хромосомный разрыв	253
3058	Туберкулез, Оральный	252
3059	Эктима, заразная	252
3060	Миопатии, структурные, врожденные	252
3061	Ректовагинальный свищ	252
3062	Миоклоническая эпилепсия, ювенильная	252
3063	Инфекции, связанные с катетером	251
3064	Пародонтальный абсцесс	251
3065	Фиброзная дисплазия, моностотическая	251
3066	Мукозит	251
3067	Ретинальные друзы	251
3068	Гипербилирубинемия, неонатальный	251
3069	Антракосиликоз	250
3070	Ангиоидные полосы	250
3071	Приобретенный буллезный эпидермолиз	250
3072	Новообразования, Базально-клеточный	249
3073	сомнамбулизм	249
3074	ангиомиома	248
3075	Орофацио-дигитальные синдромы	248
3076	Хронобиологические расстройства	248
3077	Нефролитиаз	248
3078	Варицеллоформное извержение Капоши	247
3079	Синдром Вольфрама	247
3080	Тарзальный туннельный синдром	247
3081	Спирохетальные инфекции	246
3082	Эпидермодисплазия бородавчатая	246
3083	Инфекционная анемия лошадей	246
3084	Синдром эозинофилии-миалгии	246
3085	Мезентериальный лимфаденит	246
3086	Сухой разъем	246
3087	пемфигоид беременных	245
3088	Липоидный протеиноз Урбаха и Вите	244
3089	Шок, Хирургический	244
3090	Мегаколон, Токсичный	243
3091	Невралгия, Постгерпетическая	243
3092	Синдром встряхнутого ребенка	243
3093	Инерция матки	243
3094	Молниеносные травмы	243
3095	Геморрагическая лихорадка, американская	242
3096	Перонеальные невропатии	242
3097	Синдром истощения	242
3098	Болезнь Шейермана	241
3099	Прозопагнозия	241
3100	Хромосомная нестабильность	241
3101	Зуб к зубу	240
3102	Нарушения головной боли, первичные	240
3103	Внутренний лобный гиперостоз	239
3104	лабиринтит	239
3105	Болезнь Сандхоффа	239
3106	Постфлебитический синдром	239
3107	Буллезный эпидермолиз, узловой	239
3108	Фасциит, Подошвенный	238
3109	Макроглоссия	238
3110	Саркома, светлоклеточная	237
3111	Проктоколит	237
3112	Миопия, дегенеративная	237
3113	фавизм	237
3114	пиурия	236
3115	Травма, нервная система	236
3116	Дентин, вторичный	235
3117	моносомия	235
3118	Риноспоридиоз	233
3119	Смещение костей	233
3120	Биссиноз	233
3121	Ушная боль	233
3122	каузалгия	233
3123	Нейродегенерация, связанная с пантотенаткиназой	232
3124	Синдром Бернара Сулье	232
3125	Множественная эндокринная неоплазия типа 2b	231
3126	Пневмония прогрессирующая интерстициальная овец	230
3127	Херувизм	230
3128	Этмоидный синусит	230
3129	Тики	230
3130	Гиперлипопротеинемия I типа	230
3131	Болезни костей, инфекционные	229
3132	Нейрогенное воспаление	229
3133	Tabes Dorsalis	228
3134	остеобластома	228
3135	Солитарные фиброзные опухоли	228
3136	Окостенение задней продольной связки	228
3137	Афакия	228
3138	Мидриаз	228
3139	Гиперфосфатемия	228
3140	Африканская чума свиней	227
3141	Болезни рук, ящура и рта	227
3142	Мелореостоз	227
3143	Ретиношизис	227
3144	Синдром резистентности к гормонам щитовидной железы	227
3145	Гемолиз	227
3146	Туберкулез, селезенка	226
3147	Лимфангиомиома	226
3148	Синдром Барде-Бидля	226
3149	Наследственные дегенеративные заболевания, нервная система	226
3150	Несахарный диабет, нейрогенный	226
3151	Неодонтогенные кисты	225
3152	аденомиома	225
3153	Акроспирома	225
3154	Нечувствительность к боли, врожденная	225
3155	спленоз	225
3156	Лейкоз, миелоидный, хронический, атипичный, BCR-ABL отрицательный	224
3157	Сросшиеся зубы	224
3158	Синдром задней лейкоэнцефалопатии	224
3159	Глаукома, неоваскулярная	224
3160	Балканская нефропатия	224
3161	Синдром Криглера-Наджара	224
3162	Паховая гранулема	223
3163	Трихостронгилоидоз	223
3164	Кровоизлияние десен	223
3165	Truncus Arteriosus, стойкий	223
3166	Муцинозы	223
3167	Синдромы эутиреоидной болезни	223
3168	Истирание зубов	222
3169	внезапная сыпь	221
3170	Панувейтис	221
3171	Туберкулез, Эндокринный	220
3172	Грибковые инфекции центральной нервной системы	220
3173	Лейкемия, базофильная, острая	220
3174	Дисфония	220
3175	Алкалоз, респираторный	220
3176	Тахикардия, синусовая	220
3177	Кровотечения при дефиците витамина К	220
3178	Нарушения метаболизма железа	220
3179	Скрытый туберкулез	219
3180	Лимфоматоидный папулез	219
3181	Нейрофиброма, плексиформная	219
3182	Ихтиоз, пластинчатый	219
3183	Мукополисахаридоз VI	219
3184	Ятрогенная болезнь	219
3185	Корневой кариес	218
3186	Гематома, субдуральная, острая	218
3187	Легочная бластома	217
3188	Синдром Эллиса-Ван Кревелда	217
3189	Синдром ятагана	217
3190	Клиновидный синусит	217
3191	Слоновость	217
3192	Стоматологическая фистула	216
3193	Ринит, вазомоторный	216
3194	Непереносимость фруктозы	216
3195	Склередема Взрослые	216
3196	Синдром Протея	215
3197	Холецистит, острый	215
3198	Нарушения пищеварительной системы	215
3199	Дефицит лецитинацилтрансферазы	215
3200	Гипобеталипопротеинемии	215
3201	Расставаться	215
3202	Синдромы компрессии локтевого нерва	214
3203	Анизометропия	214
3204	Отслойка стекловидного тела	214
3205	Аномалии, вызванные радиацией	214
3206	Переломы оскольчатые	214
3207	Пелиоз Гепатит	213
3208	фиброматоз, десна	213
3209	Хориоидальное кровоизлияние	213
3210	эктропион	213
3211	Плевропневмония, заразная	212
3212	сирингома	212
3213	Синдром Мейгса	212
3214	Синдром Поланда	212
3215	Искривления позвоночника	211
3216	Окулоцереброренальный синдром	211
3217	Разрыв межжелудочковой перегородки	211
3218	Отравление газом	211
3219	Карциноидная болезнь сердца	210
3220	Черепно-нижнечелюстные расстройства	210
3221	Гидатиформный крот, инвазивный	209
3222	Бластоцистные инфекции	208
3223	порфирия, печеночная	208
3224	Амнезия, преходящая глобальная	208
3225	Нейроэктодермальные опухоли	207
3226	Скелетно-мышечные аномалии	207
3227	Ночной миоклонус синдром	207
3228	Ретинальный васкулит	207
3229	Злокачественный катар	206
3230	фимоз	206
3231	Дефицит фактора XII	206
3232	Болезнь Эрдгейма-Честера	206
3233	Дилатация, Патология	206
3234	Хантавирусный легочный синдром	205
3235	Болезнь Кароли	205
3236	Акинетический мутизм	205
3237	олигоменорея	205
3238	Стрессовые расстройства, травматические	205
3239	Меланотическая веснушка Хатчинсона	204
3240	Глоссит	204
3241	Дегенерация межпозвонкового диска	203
3242	Склерозирующий лишай вульвы	203
3243	Болезнь накопления гликогена III типа	203
3244	Шизофрения, кататоническая	203
3245	Коронавирусные инфекции	202
3246	Пателлофеморальный болевой синдром	202
3247	Лабораторная инфекция	201
3248	Приобретенный синдром гиперостоза	201
3249	Респираторная аспирация	201
3250	Локтевые невропатии	201
3251	Флавивирусные инфекции	200
3252	Карцинома базосквамозная	200
3253	Фронтальный синусит	200
3254	вестибулярный нейронит	200
3255	Сфинголипидозы	200
3256	Который из	200
3257	Миастенические синдромы, врожденные	200
3258	Геморрагическая лихорадка, крымская	199
3259	спарганоз	199
3260	Випома	199
3261	Панникулит, перитонеальный	199
3262	Потеря слуха, Центральный	199
3263	Ночной энурез	198
3264	Гиперкератоз, эпидермолитический	198
3265	Болезни обезьян	198
3266	киста пищевода	197
3267	Афазия, первично-прогрессирующая	197
3268	Друзы оптического диска	197
3269	Синдром Уотерхауза-Фридериксена	196
3270	Паралич, акушерский	196
3271	Мозоли	196
3272	Фрамбезия	195
3273	Конъюнктивит, Вирусный	195
3274	Дизостозы	195
3275	Зубные депозиты	195
3276	мононевропатии	195
