,rid,disease_cui,snomed_code,Terms
1051,1052,C2939435,235630008,Hypertensive lower esophageal sphincter (disorder)
1052,1053,C0033575,30281009,Disorder of prostate
1053,1054,C0574715,297942002,Drug-induced erythema multiforme
1054,1055,C1959864,426536006,Monoplegia of upper limb affecting non-dominant side
1055,1056,C0009088,193031009,Cluster headache
1056,1057,C0151824,102628000,Gallbladder pain
1057,1058,C0264619,58239008,Posterior rhinolalia clausa
1058,1059,C0340102,233709006,Toxic pulmonary edema
1059,1060,C0042345,128060009,Venous varices
1060,1061,C0042345,399989005,Phlebectasia
1061,1062,C1275455,403387008,Lymphedema of penis
1062,1063,C0004095,46640001,Accommodative asthenopia
1063,1064,C0475521,193022009,Localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localized onset
1064,1065,C1112639,403428002,Pseudocyst of ear
1065,1066,C1542574,157141004,Physiological jaundice (& [NOS])
1066,1067,C0162627,128936008,Bacterial infection of skin
1067,1068,C0269099,33563008,Essential vulvodynia
1068,1069,C1531394,157142006,Perinatal jaundice NOS
1069,1070,C1253936,387637008,Effusion of joint
1070,1071,C0015423,60113004,Disorder of eyelid
1071,1072,C0238902,230482003,Carotidynia
1072,1073,C0595865,216325001,Acquired hyperbilirubinemia (disorder)
1073,1074,C0030846,33958003,Disorder of penis
1074,1075,C1443290,408749000,"Complex regional pain syndrome, type II, lower limb"
1075,1076,C1533040,415175000,Primary acquired melanosis of conjunctiva without atypia
1076,1077,C1540606,155111000,(Retinal vascular occlusion) or (amaurosis fugax) or (retinal thrombosis)
1077,1078,C0221152,111360009,Obstipation (disorder)
1078,1079,C0263357,77300003,Erythema gyratum repens
1079,1080,C0393669,193009001,Partial epilepsy with autonomic symptoms
1080,1081,C0263630,24782002,Hypertrophic condition of skin
1081,1082,C0270825,2198002,Visceral epilepsy
1082,1083,C0393724,230449001,Tactile epilepsy
1083,1084,C0520530,857002,Erythema simplex
1084,1085,C0411277,240712006,Submammary intertrigo
1085,1086,C0473778,276524004,Neonatal chloridorrhea
1086,1087,C0595956,238813009,Drug exanthem
1087,1088,C2004487,79012001,Vaginospasm (finding)
1088,1089,C0401144,236062000,Vomiting - infective
1089,1090,C0522255,103014001,Cervical nerve root pain
1090,1091,C1290841,127341005,Acute nervous system disorder
1091,1092,C0011849,73211009,Diabetes mellitus
1092,1093,C0155171,193903002,Other conjunctival disorders
1093,1094,C0458101,279016001,Cervicogenic headache
1094,1095,C0155186,155176001,Other eyelid disorders
1095,1096,C0278122,36550007,Crossed reflex
1096,1097,C0338465,230314007,Sandifer syndrome (disorder)
1097,1098,C0870082,26996000,Hyperkeratosis (morphologic abnormality)
1098,1099,C2980106,201017004,Prurigo mitis
1099,1100,C0311262,111354009,Chronic vascular insufficiency of intestine
1100,1101,C0565822,267727004,Blind or low vision - both eyes
1101,1102,C1997918,429266002,Sleep-related groaning
1102,1103,C0271060,67638006,Pseudocyst of retina
1103,1104,C0751362,193042000,Cataplexy and narcolepsy
1104,1105,C1704330,105995000,Disorder of teeth AND/OR supporting structures
1105,1106,C1282765,331987008,Mild dietary indigestion
1106,1107,C1290877,128605003,Disorder of extremity
1107,1108,C0233213,56160003,Hydrorrhea gravidarum
1108,1109,C0410060,42786005,Snapping thumb syndrome
1109,1110,C1277276,135860001,Exacerbation of backache
1110,1111,C2363423,193217002,Other specific myoneural disorder (& [amyotonia congenita] or [Oppenheim's amyotonia] or [congenital benign hypotonia] or [floppy infant syndrome])
1111,1112,C0015732,72042002,Incontinence of feces
1112,1113,C0454590,229678008,Phonological dysgraphia
1113,1114,C0553760,230617009,Lumbosacral plexus neuropathy
1114,1115,C0264680,19057007,Status anginosus
1115,1116,C0406329,200970002,Psoriasis palmaris
1116,1117,C0574913,298128008,Perineal wart
1117,1118,C1537218,200219001,Genital varices in pregnancy (& [vaginal] or [vulval])
1118,1119,C2711743,441604003,Myoclonus associated with fever
1119,1120,C0038220,230456007,Status epilepticus
1120,1121,C0155796,48868008,Vulval varices
1121,1122,C1282895,346138009,Neurologic unpleasant taste
1122,1123,C0011432,13468005,Sensitive dentin
1123,1124,C0270821,40816002,Retropulsion petit mal
1124,1125,C0270855,44423001,Early myoclonic encephalopathy (disorder)
1125,1126,C0338483,193039006,Complicated migraine
1126,1127,C1304204,402416000,"Urticarial vasculitis with monoclonal IgM component, Schnitzler"
1127,1128,C3263719,415172002,Primary acquired melanosis (disorder)
1128,1129,C0574713,297940005,Drug-induced erythema nodosum
1129,1130,C0586323,308742005,Alcohol withdrawal-induced convulsion
1130,1131,C1868745,449769004,Numb chin syndrome
1131,1132,C1960877,426187002,Stapedial myoclonus
1132,1133,C0343741,240607002,Donovanosis - inguinal lesion
1133,1134,C0033036,287057009,Atrial premature complex
1134,1135,C0234534,58895005,Central convulsion
1135,1136,C0234974,79348005,"Simple partial seizure, consciousness not impaired"
1136,1137,C0454588,229676007,Language-related cognitive disorder
1137,1138,C0686558,95194004,Nodular lymphoma of extranodal AND/OR solid organ site
1138,1139,C1302789,400037008,Disorder of perianal skin
1139,1140,C0006145,79604008,Disorder of breast
1140,1141,C0026650,60342002,Movement disorder
1141,1142,C0030567,49049000,Parkinson's disease
1142,1143,C0234753,69017006,Cortical vertigo
1143,1144,C0343729,240597001,Anal warts
1144,1145,C0553587,192999003,Partial epilepsy with impairment of consciousness
1145,1146,C1290072,128047003,Infectious disease of mucous membrane
1146,1147,C1534916,139532000,(Disturbance of consciousness) or (faint/syncope/vasovagal symptom)
1147,1148,C2937217,85225000,Cyst of nasal sinus (disorder)
1148,1149,C0266105,90516007,Naso-labial cyst
1149,1150,C0393727,230452009,Toothbrushing epilepsy
1150,1151,C1290880,128137003,Disorder of lower leg (disorder)
1151,1152,C2919808,445172009,Cholesterin granuloma of middle ear and mastoid
1152,1153,C0029856,203848000,[X]Other synovitis and tenosynovitis
1153,1154,C0156697,199027009,Hyperemesis gravidarum with metabolic disturbance - delivered
1154,1155,C0311334,4619009,Generalized-onset seizures
1155,1156,C0206042,83157008,Fatal familial insomnia
1156,1157,C0392060,75111000,Painful ophthalmoplegia
1157,1158,C0011606,396350005,Generalized exfoliative dermatitis
1158,1159,C0267492,83976009,Granuloma of intestine
1159,1160,C0270793,32162001,Facial hemiplegia
1160,1161,C0406691,238992001,Drug-induced erythroderma
1161,1162,C1561855,442292004,Idiopathic hypersomnia without long sleep time
1162,1163,C0018989,127377003,Unilateral paresis
1163,1164,C0042996,63144007,Vulvitis (disorder)
1164,1165,C0152027,85972008,Sensory disorder
1165,1166,C1290866,118943001,Disorder of pelvis
1166,1167,C0015674,51771007,Postviral fatigue syndrome
1167,1168,C1274380,402969008,Erythema nodosum due to streptococcal infection
1168,1169,C1302854,400160003,Disorder of skin of upper limb
1169,1170,C2035047,307357004,"Jacksonian, focal or motor epilepsy"
1170,1171,C0021290,22925008,Neonatal disorder (disorder)
1171,1172,C0340103,233710001,Chemical-induced pulmonary edema
1172,1173,C0042251,25658005,Disorder of vagina
1173,1174,C0234240,4448006,Allergic headache
1174,1175,C1290884,128139000,Inflammatory disorder
1175,1176,C0035309,29555009,Retinal disorder
1176,1177,C0393680,193003000,Mesiobasal limbic epilepsy
1177,1178,C0565878,274117006,Pregnancy and infectious disease
1178,1179,C0278195,19593003,Movement partial seizure
1179,1180,C0393700,230419003,Cryptogenic Lennox-Gastaut syndrome
1180,1181,C0406330,200971003,Psoriasis plantaris
1181,1182,C0015544,433476000,Failure to thrive in infant
1182,1183,C0015544,54840006,Failure to thrive
1183,1184,C0267545,85187004,Tympanites of cecum
1184,1185,C0456043,276587008,Perinatal neurological disorder
1185,1186,C0700201,44186003,Dyssomnia
1186,1187,C0036323,10087007,Infection by Schistosoma
1187,1188,C0042420,398652001,Vasovagal attack
1188,1189,C0155965,196594002,Other specified tongue conditions NOS
1189,1190,C0155965,196591005,Other specified tongue conditions
1190,1191,C0406534,200924009,Erythema vesiculosum
1191,1192,C0154702,80420005,Monoplegia of lower limb
1192,1193,C0235238,68158006,Cycloplegia
1193,1194,C0349493,276678006,Umbilical sepsis
1194,1195,C0151532,95640005,Disorder of brain stem
1195,1196,C0263577,78631004,Erythromelanosis follicularis of face AND/OR neck
1196,1197,C2239278,155497009,(Acute nasopharyngitis) or (common cold) or (acute coryza) or (acute rhinitis) or (sniffles) or (snuffles)
1197,1198,C0406698,110284009,Drug-induced pigmentation
1198,1199,C2960769,447102007,Cholesterin granuloma of mastoid
1199,1200,C0268005,276633008,Hypotonic disorder
1200,1201,C0472351,230408001,Localization-related cryptogenic epilepsy
1201,1202,C2919641,445612002,Postrenal azotemia
1202,1203,C0266837,25959004,Endemic colic
1203,1204,C0267977,87091005,Semi-starvation
1204,1205,C0271240,22950006,Blindness of one eye
1205,1206,C0278085,37001003,Bradylalia
1206,1207,C0153024,17974002,Post-herpetic trigeminal neuralgia
1207,1208,C0267517,30993009,Enterospasm
1208,1209,C1274285,402846006,Neonatal cutis marmorata
1209,1210,C1285333,363171009,Inflammation of specific body systems
1210,1211,C1576410,200953005,(Other erythematous conditions NOS) or (granuloma annulare)
1211,1212,C0005937,203467005,Solitary bone cyst
1212,1213,C0022541,51464001,Oculocraniosomatic syndrome
1213,1214,C0271509,36543008,Echo diplacusis
1214,1215,C0343200,239938009,Giant cell arteritis with polymyalgia rheumatica
1215,1216,C3266155,449890002,Functional abdominal pain syndrome
1216,1217,C0162429,70241007,Nutritional deficiency
1217,1218,C0232705,386710007,Neurogenic incontinence
1218,1219,C0232705,386707000,Idiopathic fecal incontinence
1219,1220,C0393677,230388003,Benign occipital epilepsy of childhood - late onset variant
1220,1221,C0456052,276597004,Fifth day fits
1221,1222,C0010269,23096007,Cranial neuralgia
1222,1223,C0016399,82401000,Simple partial seizure with motor dysfunction
1223,1224,C0020758,13059002,Congenital ichthyosis of skin
1224,1225,C0578159,301469002,Antibiotic-associated diarrhea
1225,1226,C1299436,371808007,Recurrent angina after percutaneous transluminal coronary angioplasty
1226,1227,C2315264,430097009,Constipation due to spasm of colon
1227,1228,C0014547,230381009,Localization-related epilepsy
1228,1229,C0157731,267807006,Other specified nail disease NOS
1229,1230,C0157731,201115009,Other specified nail disease
1230,1231,C0270830,246533006,Simple partial seizure with somatosensory or special sensory dysfunction
1231,1232,C0341858,198247003,Endometriosis interna
1232,1233,C0393684,230396008,Cingulate epilepsy
1233,1234,C0494559,232297009,Disorder of inner ear
1234,1235,C1141936,129576003,Purple glove syndrome
1235,1236,C1642392,419025007,T-cell pseudolymphomatous lesion
1236,1237,C1720416,420932006,Episodic ataxia type 2
1237,1238,C0019125,111536009,Hematotympanum
1238,1239,C0269977,86196005,Disorder of breast associated with childbirth
1239,1240,C0020451,19569008,Mild hyperemesis gravidarum
1240,1241,C0155358,194148005,Other scleral disorders NOS
1241,1242,C0232065,7688001,Ether apnea
1242,1243,C0393729,230454005,Aquagenic epilepsy
1243,1244,C1579022,195196001,(Drop attack) or (transient cerebral ischemia) or (vertebro-basilar insufficiency)
1244,1245,C0267509,82934008,Chronic idiopathic constipation
1245,1246,C0340288,233819005,Stable angina (disorder)
1246,1247,C0341286,235717000,Food intolerance NEC
1247,1248,C0393714,230440002,Secondary reading epilepsy
1248,1249,C0472355,230435005,Epilepsy undetermined whether focal or generalized
1249,1250,C0007862,35635000,Cervicobrachial neuralgia
1250,1251,C0393693,230411000,Benign non-familial neonatal convulsions
1251,1252,C0014740,69588003,Erythema chronica migrans
1252,1253,C0029819,198591004,[X]Other specified noninflammatory disorders of vagina
1253,1254,C0270750,37960002,Sanger-Brown cerebellar ataxia
1254,1255,C0585561,307693006,Vertical myoclonus
1255,1256,C1272174,390843008,Scotopic sensitivity
1256,1257,C0393620,230344005,Post-anoxic myoclonus
1257,1258,C1399352,443094001,Paroxysmal hemicrania
1258,1259,C0152135,69763009,Exophthalmic ophthalmoplegia
1259,1260,C0242354,66091009,Congenital disease
1260,1261,C0393674,230385000,Epilepsy with recurrent unilateral seizures in children
1261,1262,C0085417,407675009,Complex partial epileptic seizure
1262,1263,C0158227,202629007,Other specified joint disorders of the lower leg
1263,1264,C0278110,404689008,Alternating hemiplegia
1264,1265,C0393732,230458008,Non-convulsive status epilepticus without three per second spike wave
1265,1266,C0042994,5089007,Disorder of vulva
1266,1267,C0158292,12820001,Disorder of sacrum
1267,1268,C0263656,56270008,Surfer's nodules
1268,1269,C0454548,229638001,Hyperkinetic aphonia
1269,1270,C0750949,398997008,Vertebrogenic pain syndrome
1270,1271,C1536458,156431004,(Urticaria NOS) or (hives) or (pachydermia)
1271,1272,C0022353,387712008,Neonatal jaundice
1272,1273,C0085623,33994004,Akinesia
1273,1274,C0546393,111032003,Macular cutaneous amyloidosis
1274,1275,C0745890,408662006,Reflex sympathetic dystrophy of lower extremity
1275,1276,C1571826,190517002,(Virilism) or (adrenogenital virilisation) or (pseudohermaphrodite female with adrenocortical disorder)
1276,1277,C0154728,15758002,Disorder of meninges
1277,1278,C0276478,64679001,Coronaviral calf diarrhea
1278,1279,C1301339,397318008,Extraovarian endometriosis
1279,1280,C1578956,201267004,(Other specified urticaria) or (nettle rash)
1280,1281,C0155104,18377001,Anterior corneal pigmentation
1281,1282,C0267658,82047000,Diarrhea due to alcohol intake
1282,1283,C0393602,230322000,Isolated cervical dystonia
1283,1284,C0393690,230403005,Parietal lobe epilepsy
1284,1285,C0553565,4654002,Posteruptive color change of tooth
1285,1286,C0560922,240713001,Candidiasis of finger web
1286,1287,C1274960,403638003,Acral erythema due to cytotoxic therapy
1287,1288,C0010488,35543003,Cutaneous endometriosis
1288,1289,C0087012,129609000,Spinocerebellar ataxia
1289,1290,C0264625,57355001,Vocal nodules in adults
1290,1291,C1269791,371409005,Disorder of eye region
1291,1292,C0406541,238818000,Non-bullous erythema multiforme
1292,1293,C0458220,95670000,Nervus intermedius neuralgia
1293,1294,C1304407,402655006,Necrotizing cutaneous vasculitis
1294,1295,C0007222,49601007,Disorder of cardiovascular system
1295,1296,C0155093,4873000,Localized vascularization of cornea
1296,1297,C0264675,61490001,"Angina, class I"
1297,1298,C1959853,426218005,Tendinitis of flexor hallucis longus
1298,1299,C0149940,52585001,Sciatic neuropathy
1299,1300,C0423086,103262002,Staring (finding)
1300,1301,C1535054,155567003,(Simple chronic bronchitis) or (smoker's cough) or (senile tracheobronchitis)
1301,1302,C1579723,203118000,"(Neuralgia, neuritis or radiculitis NOS) or (policeman's disease)"
1302,1303,C0031256,423716004,Petechiae of skin
1303,1304,C0157669,200458009,Other disorder of lactation NOS
1304,1305,C0263322,81487000,Erythema iris
1305,1306,C0409781,202442002,Villonodular synovitis of distal interphalangeal joint of finger
1306,1307,C1290611,128284006,Chronic digestive system disorder
1307,1308,C0267558,65979008,Drug AND/OR toxin-induced diarrhea
1308,1309,C0278117,20940004,Spinal hemiparesis
1309,1310,C0278203,60338000,Partial seizure with multiple symptoms
1310,1311,C0347868,307324001,Spastic foot
1311,1312,C0033139,3972004,Primary insomnia
1312,1313,C0263213,62248006,Juvenile pyoderma
1313,1314,C0268979,89921006,Infertility due to complete spermatogenic arrest
1314,1315,C0566748,289316000,Umbilical cord problem
1315,1316,C1960869,426788002,Vertigo as late effect of stroke
1316,1317,C0151744,414545008,Ischemic heart disease
1317,1318,C0743381,426634003,Eclamptic seizure
1318,1319,C0043352,87715008,Aptyalism
1319,1320,C0086666,4557003,Preinfarction syndrome
1320,1321,C0267032,1826005,Granuloma of lip
1321,1322,C0423738,62647006,Painful spasm of anus
1322,1323,C0234527,53863007,Motor apraxia
1323,1324,C0393615,192840004,Benign familial tremor
1324,1325,C1298989,372441001,Seizures complicating infection in the newborn
1325,1326,C0272268,68312001,Cold erythema associated with cold agglutinins
1326,1327,C0340851,234164004,Malignant vasovagal syndrome
1327,1328,C0348626,195587008,[X]Other specified cardiac arrhythmias
1328,1329,C0424734,248413004,Liver palms
1329,1330,C1277670,315258003,Crusting of pigmented skin lesion
1330,1331,C1827974,425349008,Refractory parietal lobe epilepsy
1331,1332,C0263426,86425006,Ulerythema
1332,1333,C0267437,49237006,Allergic diarrhea
1333,1334,C0393715,230441003,Drug-induced epilepsy
1334,1335,C0453878,228145007,Impairment of speech form
1335,1336,C0454589,229677003,Deep dysgraphia
1336,1337,C1274949,403627003,Non-melanin pigmentation due to drug
1337,1338,C2315536,430725003,Patellofemoral stress syndrome
1338,1339,C0014556,193000002,Temporal lobe epilepsy
1339,1340,C0034544,82473003,Radiculitis (disorder)
1340,1341,C0155402,41663005,Disorder of pinna
1341,1342,C0393771,271793004,Irregular sleep-wake pattern
1342,1343,C0405082,199022003,Mild hyperemesis-delivered
1343,1344,C0426970,249852005,Spastic quadriplegia
1344,1345,C0268317,75066002,Chronic cholestatic jaundice syndrome
1345,1346,C0269106,55850004,Endosalpingiosis
1346,1347,C0027438,123952009,Disorder of nasopharynx
1347,1348,C0406299,238587006,Chronic prurigo
1348,1349,C0154830,59276001,Proliferative diabetic retinopathy (disorder)
1349,1350,C0155170,193901000,Conjunctival cyst
1350,1351,C0406238,238546005,Pruriginous atopic dermatitis
1351,1352,C0042075,41368006,Disorder of urinary tract
1352,1353,C0155089,17157001,Diffuse interstitial keratitis
1353,1354,C0311335,13973009,Grand mal status
1354,1355,C0472350,230406002,Localization-related symptomatic epilepsy with specific precipitant
1355,1356,C0586323,361267005,Alcohol-related fit
1356,1357,C1263748,123755001,Diffuse pyelonephritis
1357,1358,C0154731,43763009,Glossopharyngeal neuralgia
1358,1359,C0238111,230418006,Lennox-Gastaut syndrome (disorder)
1359,1360,C0271216,68777001,Impairment level of both eyes
1360,1361,C0033036,284470004,Premature atrial contraction
1361,1362,C0154739,193122007,Other nerve root or plexus disorder
1362,1363,C0154739,194508006,[X]Other nerve root and plexus disorders
1363,1364,C0341021,235071003,Oral erythematous candidiasis
1364,1365,C0452138,194424005,"Sensorineural hearing loss, bilateral"
1365,1366,C0521667,95659007,Hindbrain hernia headache
1366,1367,C1540374,197496009,(Intolerance NEC: [fat] or [food] or [milk]) or (malabsorption NOS: [syndrome] or [other gastrointestinal tract])
1367,1368,C1565172,449814007,Trigeminal autonomic cephalalgia
1368,1369,C0029546,197314007,Other non-alcoholic chronic liver disease
1369,1370,C0029546,197322000,Other non-alcoholic chronic liver disease NOS
1370,1371,C0271510,2724004,Recruitment
1371,1372,C0454533,229621000,Disorder of fluency
1372,1373,C1827284,425054007,Refractory occipital lobe epilepsy
1373,1374,C0264201,41624003,Segmental dysfunction
1374,1375,C0393713,230439004,Epilepsy with continuous spike wave during slow-wave sleep
1375,1376,C0262995,58921009,Diffuse dermatitis
1376,1377,C0267172,49206006,Habit vomiting (disorder)
1377,1378,C0269111,64286001,Endometriosis of the cul-de-sac
1378,1379,C0270997,62619007,Ill-defined disorder of eye
1379,1380,C0014805,403390002,Primary erythromelalgia
1380,1381,C0043046,288517002,Wasting disease
1381,1382,C0338478,230427007,Cryptogenic myoclonic epilepsy
1382,1383,C0341353,235771005,Appendix mass
1383,1384,C0152197,86266009,Total internal ophthalmoplegia
1384,1385,C0162296,35678005,Multiple joint pain
1385,1386,C0276577,13556003,AIDS with hepatomegaly
1386,1387,C0423682,279040009,Mechanical low back pain
1387,1388,C1301398,397401005,Disorder of neonatal umbilicus
1388,1389,C0338489,230467008,Status migrainosus
1389,1390,C0702143,1534008,Palsy of conjugate gaze
1390,1391,C0042033,12011009,Female urinary-genital tract fistula
1391,1392,C0152216,62176008,Esophoria (disorder)
1392,1393,C0340854,234167006,Situational syncope
1393,1394,C0015674,52702003,Chronic fatigue syndrome
1394,1395,C0038870,175004,Supraorbital neuralgia
1395,1396,C0393681,230392005,Rhinencephalic epilepsy
1396,1397,C0581287,213338000,Erythema at injection site
1397,1398,C1960709,425936006,Intractable ophthalmic migraine
1398,1399,C0014553,230413002,Juvenile absence epilepsy
1399,1400,C0030353,423341008,Optic disc edema
1400,1401,C0085096,400047006,Peripheral vascular disease
1401,1402,C0393614,230341002,Isolated vocal tremor
1402,1403,C0564774,286993001,Dysmenorrhea - non-psychogenic
1403,1404,C0036454,23388006,Visual field scotoma
1404,1405,C0393692,39745004,Chronic progressive epilepsia partialis continua
1405,1406,C1274856,403510002,Lupus erythematosus-associated urticarial vasculitis
1406,1407,C0001314,2704003,Acute disease
1407,1408,C1274605,403209006,Familial actinic prurigo
1408,1409,C1274932,403608009,Serum sickness due to drug
1409,1410,C0042331,193030005,Migraine variants
1410,1411,C0232710,31499008,Chronic constipation with overflow
1411,1412,C0234170,44842005,General areflexia
1412,1413,C0452200,206572008,Neonatal withdrawal symptoms from maternal use of drugs of addiction
1413,1414,C1827389,422513000,"Epilepsy, not refractory"
1414,1415,C0340164,181225007,Bilateral hilar adenopathy syndrome
1415,1416,C0393683,230395007,Supplementary motor epilepsy
1416,1417,C0411024,240310001,Grunting baby
1417,1418,C1959865,426943005,Hypersomnia disorder related to menstruation
1418,1419,C0023533,237101004,Leukorrhea (finding)
1419,1420,C0036323,105661001,Disease due to Schistosomatidae
1420,1421,C0276014,72054002,Gummatous osteitis of yaws
1421,1422,C0264612,90662007,Dysprosody of 'pseudoforeign dialect'
1422,1423,C0264681,21470009,Syncope anginosa
1423,1424,C0268318,235888006,Cholestasis of pregnancy (disorder)
1424,1425,C1275040,403720005,PUVA-induced pruritus
1425,1426,C0028432,89488007,Disorder of the nose
1426,1427,C0152097,48475001,Disorder of diaphragm
1427,1428,C0153136,187350002,"[X]Other late congenital syphilis, symptomatic"
1428,1429,C0519012,155029008,(Hemiplegia) or (hemiparesis)
1429,1430,C0234507,20930002,Anosognosia
1430,1431,C0267518,1045000,Colonospasm (disorder)
1431,1432,C0270743,16171003,Double athetosis
1432,1433,C0278186,87185006,Long atonic seizure
1433,1434,C0343836,82074004,Achromic skin lesions of pinta
1434,1435,C0406536,267801007,Other erythematous conditions NOS
1435,1436,C1300028,373673007,Disorder characterized by pain
1436,1437,C0233444,10361001,Exhaustion delirium
1437,1438,C0162835,18655006,Depigmentation
1438,1439,C0343065,7632005,Dermatographic urticaria
1439,1440,C1274933,403609001,Drug-induced Stevens-Johnson syndrome
1440,1441,C0024248,234110002,Lymph cyst
1441,1442,C0393604,230324004,Isolated blepharospasm
1442,1443,C1274939,403617009,Drug-induced erythema
1443,1444,C1997771,429428003,Chronic hypercapnia
1444,1445,C0037769,28055006,West syndrome
1445,1446,C0454550,229640006,Hyperfunctional aphonia
1446,1447,C1533847,75047002,Disorder of skeletal muscle
1447,1448,C0028738,563001,Nystagmus (disorder)
1448,1449,C0041309,66986005,Tuberculosis of skin
1449,1450,C0349255,192454004,Nonorganic insomnia
1450,1451,C0393733,230459000,Non-convulsive simple partial status epilepticus
1451,1452,C0393960,230702001,Lacunar ataxic hemiparesis
1452,1453,C0151594,95545007,Hemorrhagic diarrhea
1453,1454,C0156344,266589005,Endometriosis of ovary
1454,1455,C1527351,72274001,Nerve root disorder
1455,1456,C0451714,197367007,Hepatic granulomas in berylliosis
1456,1457,C0546878,18191000,Salaam spasm
1457,1458,C2711445,441724008,Tension hydrothorax
1458,1459,C0002418,387742006,Amblyopia (disorder)
1459,1460,C0032962,90821003,Complication related to pregnancy
1460,1461,C0231767,4063001,Achillodynia
1461,1462,C0263351,42570001,Pruritus senilis
1462,1463,C0521801,95838002,Pulmonary cyanosis
1463,1464,C0393738,230471006,Chronic tension-type headache
1464,1465,C0752196,426592006,Ballism
1465,1466,C1534965,193860001,(Acute mucopurulent conjunctivitis) or (sticky eye)
1466,1467,C0042376,128187005,Vascular headache
1467,1468,C0264632,84011002,Mutational falsetto
1468,1469,C0269663,87621000,Hyperemesis gravidarum before end of 22 week gestation with dehydration
1469,1470,C0278116,1670004,Cerebral hemiparesis
1470,1471,C0458224,129179000,Piriformis syndrome (disorder)
1471,1472,C1290379,128487001,Acute disease of cardiovascular system
1472,1473,C0013447,25906001,Disorder of ear
1473,1474,C0032772,17111003,Postinfectious neuralgia
1474,1475,C0271490,89537006,Diffuse labyrinthitis
1475,1476,C0473132,39963006,Toddler diarrhea
1476,1477,C0393587,230309008,Kinesiogenic choreoathetosis
1477,1478,C0748355,373895009,Acute respiratory distress
1478,1479,C1561892,418955009,Organic sleep disorder
1479,1480,C0086588,29740003,Nutritional marasmus
1480,1481,C0004509,48188009,Azoospermia (finding)
1481,1482,C0270757,53194005,Posthemiplegic athetosis
1482,1483,C0025517,75934005,Metabolic disease
1483,1484,C0025517,30390004,Generalized metabolic disorder
1484,1485,C0085417,361123003,Psychomotor epilepsy
1485,1486,C0152251,58767000,Toxic erythema (disorder)
1486,1487,C0269102,103678008,Endometriotic cyst
1487,1488,C0276572,422177004,Dyspnea associated with AIDS
1488,1489,C0278113,55637002,Spinal hemiplegia
1489,1490,C0340857,234170005,Deglutition syncope
1490,1491,C0852271,363219007,Neonatal gastrointestinal disorder
1491,1492,C1274942,403620001,Erythroderma due to vancomycin
1492,1493,C0394013,230788000,Congenital receptive dysphasia
1493,1494,C0575031,298253002,Cervical facet joint pain
1494,1495,C0034931,128079007,"Complex regional pain syndrome, type I"
1495,1496,C0034931,2103002,Shoulder-hand syndrome
1496,1497,C0263978,19660004,Disorder of soft tissue
1497,1498,C0392571,63385005,Impairment level: better eye: moderate impairment: lesser eye: not further specified
1498,1499,C1410262,413101007,Stress-induced epilepsy
1499,1500,C0026618,30265004,Dental fluorosis
1500,1501,C0156098,196790008,Other diseases of appendix NOS
1501,1502,C0158319,21409006,Enthesopathy of ankle AND/OR tarsus
1502,1503,C0751383,61663001,Juvenile neuronal ceroid lipofuscinosis
1503,1504,C1265579,125118008,Exfoliative erythema
1504,1505,C1540722,154927001,Sleep disorders (& [insomnia] or [nightmares] or [sleepwalking (& somnambulism)])
1505,1506,C0031121,25416002,Peripheral neuralgia
1506,1507,C0342962,238154003,Severe systemic illness-induced skeletal muscle wasting
1507,1508,C0023895,235856003,Disease of liver
1508,1509,C0024530,248437004,Malarial fever
1509,1510,C0343267,203493003,Algodystrophy of hand
1510,1511,C0393688,230400008,Opercular epilepsy
1511,1512,C0406875,239209004,Tissue expander disorder
1512,1513,C0423690,247369005,Facet joint pain
1513,1514,C1278535,314116003,Post infarct angina
1514,1515,C1290876,118937003,Disorder of lower extremity
1515,1516,C1563321,196580003,Mouth: [mucocele] or [discomfort] or [soft tissue diseases NOS]
1516,1517,C2959868,447146004,Verruca vulgaris of skin of lower extremity
1517,1518,C0036093,10890000,Disorder of salivary gland
1518,1519,C2711235,442168001,Retardation of physical development
1519,1520,C0040128,14304000,Disorder of thyroid gland
1520,1521,C0150055,82423001,Chronic pain (finding)
1521,1522,C0242225,367469000,Color vision deficiency
1522,1523,C0343042,238453003,Maculae ceruleae
1523,1524,C0004606,390834004,Nonproliferative diabetic retinopathy (disorder)
1524,1525,C0085273,34730008,Erythema infectiosum
1525,1526,C0263353,63501000,Prurigo nodularis (disorder)
1526,1527,C0270218,111471006,Perinatal jaundice from causes classified elsewhere
1527,1528,C0270831,72103000,Simple partial seizure with special sensory symptoms
1528,1529,C0338490,230468003,Migraine with ischemic complication
1529,1530,C0457000,277794000,Neonatal annular erythema
1530,1531,C1290145,128049000,Disorder of cervical spine (disorder)
1531,1532,C1827052,423683008,Refractory migraine with aura
1532,1533,C1299608,371044001,Transient respiratory distress with sepsis
1533,1534,C0154753,155079006,Other mononeuritis lower limb
1534,1535,C1535388,199020006,Morning sickness (& [mild hyperemesis gravidarum])
1535,1536,C0031736,367484009,Polymorphous light eruption
1536,1537,C0156084,386211005,Disorder of function of stomach
1537,1538,C0231644,89638008,Xiphodynia
1538,1539,C1443291,408750000,"Complex regional pain syndrome, type II, upper limb"
1539,1540,C0553642,396333008,Non-articular rheumatism
1540,1541,C0276726,80890005,Cutaneous sporotrichosis
1541,1542,C0343755,422003001,Cachexia associated with AIDS
